Algorithm,PH,Range,Function,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
CNN,4,ENTIRE,cSigp06,2.34,0.42,0.08,-3.22,0.38,2.76,2.54,218.6,0.82,-0.01
CNN,4,TBR_2,cSigp06,71.54,0,0,-72.08,0.54,71.54,-16.95,-1585.15,-24.43,-0.51
CNN,4,TBR_1,cSigp06,58.88,0,0,-59.65,0.77,58.88,-11.94,-1066,-21.82,-0.36
CNN,4,TIR,cSigp06,-1.34,1.18,0.14,0,0,-0.16,3.98,279.85,2.41,0.01
CNN,4,TAR_1,cSigp06,1.56,-2.53,-0.06,-0.31,1.35,-0.97,3.52,318.93,0.88,0
CNN,4,TAR_2,cSigp06,-1.27,2.73,-0.03,-1.69,0.25,1.46,1.96,265.55,1.94,0.01
LSTM,2,ENTIRE,cSigp06,-3.48,4.14,0,-0.67,0.01,0.66,3.27,173.32,2.73,0.02
LSTM,2,TBR_2,cSigp06,8.32,0,0,-8.32,0,8.32,0.23,6.55,2.01,0.05
LSTM,2,TBR_1,cSigp06,16.5,0,0,-16.5,0,16.5,-4.23,-93.07,-3.85,-0.06
LSTM,2,TIR,cSigp06,-4.56,4.55,0,0,0,-0.01,2.38,93.83,2.17,0.02
LSTM,2,TAR_1,cSigp06,-2.35,2.25,0,0.07,0.02,-0.1,2.26,137.57,2.41,0.01
LSTM,2,TAR_2,cSigp06,-7.72,7.58,0,0.13,0,-0.14,8.36,767.41,8.59,0.03
LSTM,4,ENTIRE,cSigp06,-1.49,4.74,0.04,-3.59,0.3,3.25,3.43,271.78,2.56,0.01
LSTM,4,TBR_2,cSigp06,75.39,0,0,-75.51,0.12,75.39,-13.95,-919.02,-16.66,-0.34
LSTM,4,TBR_1,cSigp06,70.87,0,0,-71.06,0.19,70.87,-11.62,-705.42,-18.21,-0.3
LSTM,4,TIR,cSigp06,-7.45,7.37,0.07,0,0,-0.08,5.47,322.88,4.38,0.03
LSTM,4,TAR_1,cSigp06,0.33,-1.27,-0.03,-0.23,1.18,-0.94,3,267.91,1.33,0.01
LSTM,4,TAR_2,cSigp06,-4.44,5.36,-0.01,-1.02,0.11,0.92,3.2,435.01,4.03,0.02
Linear,2,ENTIRE,cSigp06,0.45,0.05,0,-0.5,0,0.5,0.72,29.66,0.32,0
Linear,2,TBR_2,cSigp06,2.71,0,0,-2.71,0,2.71,-2.48,-61.81,-3.49,-0.07
Linear,2,TBR_1,cSigp06,12.83,0,0,-12.83,-0.01,12.83,-2.4,-69.69,-2.92,-0.05
Linear,2,TIR,cSigp06,0.42,-0.41,0,0,0,0.01,0.09,3.4,-0.29,-0.01
Linear,2,TAR_1,cSigp06,-0.99,0.94,0,0.05,0,-0.05,1.53,68.63,1.54,0.01
Linear,2,TAR_2,cSigp06,-0.76,0.68,0,0.08,0,-0.08,2.4,127.7,2.43,0.01
Linear,4,ENTIRE,cSigp06,3.08,-1.18,0.2,-2.25,0.13,1.9,1.7,128.15,0.09,-0.01
Linear,4,TBR_2,cSigp06,52.4,0,0,-52.34,-0.06,52.4,-9.67,-628.85,-14.83,-0.31
Linear,4,TBR_1,cSigp06,48.39,0,0,-48.29,-0.1,48.39,-8.08,-563.4,-12.03,-0.2
Linear,4,TIR,cSigp06,2.54,-2.78,0.25,0,0,-0.24,1.92,124.94,0.19,-0.01
Linear,4,TAR_1,cSigp06,-4.21,3.35,0.18,0.11,0.58,-0.86,5.12,416.34,3.65,0.02
Linear,4,TAR_2,cSigp06,1.86,-2.55,0.09,0.54,0.05,-0.69,-1.48,-158.41,-2.56,-0.01
CNN,2,ENTIRE,gMAD,0.62,1.47,0.17,-2.29,0.05,2.09,1.57,91.72,0.51,-0.01
CNN,2,TBR_2,gMAD,47.46,0,0,-47.51,0.05,47.46,-11.57,-594.85,-15.7,-0.33
CNN,2,TBR_1,gMAD,46.77,0,0,-46.88,0.1,46.77,-6.92,-358.07,-10.68,-0.18
CNN,2,TIR,gMAD,-2.45,2.25,0.2,0,0.01,-0.2,3.29,171.69,1.76,0.01
CNN,2,TAR_1,gMAD,-1.8,1.54,0.17,-0.06,0.14,-0.26,2.44,158.91,1.58,0.01
CNN,2,TAR_2,gMAD,2.49,-2.17,0.08,-0.41,0,0.32,-3.44,-261.59,-3.23,-0.01
CNN,4,ENTIRE,gMAD,1.47,-0.09,0.69,-2.27,0.19,1.38,2.45,210.72,0.75,0
CNN,4,TBR_2,gMAD,52.14,0,0,-52.65,0.51,52.14,-13.55,-1313.78,-22.68,-0.48
CNN,4,TBR_1,gMAD,37.37,0,0,-38.18,0.81,37.37,-7.81,-729.12,-16.12,-0.26
